dname,sname,date,timestamp,minutes
E421,ET1,2025-09-02,2025-09-02 08:48:10,528
E421,ET1,2025-09-03,2025-09-03 08:48:40,528
E421,ET1,2025-09-04,2025-09-04 08:52:11,532
E421,ET1,2025-09-06,2025-09-06 09:08:35,548
E421,ET1,2025-09-08,2025-09-08 08:49:59,529
E421,ET1,2025-09-09,2025-09-09 08:43:01,523
E421,ET1,2025-09-10,2025-09-10 08:45:09,525
E421,ET1,2025-09-11,2025-09-11 08:44:52,524
E421,ET1,2025-09-12,2025-09-12 08:44:02,524
E421,ET1,2025-09-13,2025-09-13 08:53:01,533
E421,ET1,2025-09-15,2025-09-15 08:48:44,528
E421,ET1,2025-09-17,2025-09-17 08:46:05,526
E421,ET1,2025-09-18,2025-09-18 08:48:07,528
E421,ET1,2025-09-19,2025-09-19 08:45:38,525
E421,ET1,2025-09-22,2025-09-22 09:37:43,577
E421,ET1,2025-09-24,2025-09-24 08:46:17,526
E421,ET1,2025-09-25,2025-09-25 08:44:42,524
E421,ET1,2025-09-26,2025-09-26 08:47:01,527
E421,ET1,2025-09-27,2025-09-27 09:05:10,545
E421,ET1,2025-09-29,2025-09-29 09:06:16,546
E421,ET1,2025-11-07,2025-11-07 08:49:32,529
E421,ET1,2025-11-08,2025-11-08 08:49:48,529
E421,ET1,2025-11-10,2025-11-10 08:51:40,531
E421,ET1,2025-11-11,2025-11-11 08:51:51,531
E421,ET1,2025-11-12,2025-11-12 08:49:36,529
E421,ET1,2025-11-13,2025-11-13 08:49:08,529
E421,ET1,2025-11-14,2025-11-14 08:48:58,528
E421,ET1,2025-11-17,2025-11-17 08:49:28,529
E421,ET1,2025-11-18,2025-11-18 08:43:46,523
E421,ET1,2025-11-19,2025-11-19 08:50:07,530
E421,ET1,2025-11-20,2025-11-20 08:49:53,529
E421,ET1,2025-11-21,2025-11-21 08:48:30,528
E421,ET1,2025-11-24,2025-11-24 08:48:34,528
E421,ET1,2025-11-26,2025-11-26 08:48:46,528
E421,ET1,2025-11-27,2025-11-27 08:48:01,528
E421,ET1,2025-11-28,2025-11-28 09:07:10,547
E421,ET1,2025-11-29,2025-11-29 09:13:37,553
E421,ET1,2025-12-01,2025-12-01 08:50:42,530
E421,ET1,2025-12-02,2025-12-02 08:49:43,529
E421,ET1,2025-12-03,2025-12-03 08:48:41,528
E421,ET1,2025-12-04,2025-12-04 08:53:02,533
E421,ET1,2025-12-05,2025-12-05 08:51:43,531
E421,ET1,2025-12-06,2025-12-06 08:55:15,535
E421,ET1,2025-12-08,2025-12-08 08:47:21,527
E421,ET1,2025-12-09,2025-12-09 08:52:17,532
E421,ET1,2025-12-10,2025-12-10 08:51:25,531
E421,ET1,2025-12-11,2025-12-11 08:49:41,529
E421,ET1,2025-12-12,2025-12-12 08:47:51,527
E421,ET1,2025-12-13,2025-12-13 08:47:10,527
E421,ET1,2025-12-15,2025-12-15 08:49:14,529
E421,ET1,2025-12-16,2025-12-16 08:50:18,530
E421,ET1,2025-12-18,2025-12-18 08:47:04,527
E421,ET1,2025-12-19,2025-12-19 08:48:39,528
E421,ET1,2025-12-20,2025-12-20 08:46:23,526
E421,ET1,2025-12-22,2025-12-22 08:48:51,528
E421,ET1,2025-12-23,2025-12-23 08:51:19,531
E421,ET1,2025-12-24,2025-12-24 09:05:03,545
E421,ET1,2025-12-26,2025-12-26 09:15:33,555
E421,ET1,2025-12-27,2025-12-27 09:12:25,552
E421,ET1,2025-12-29,2025-12-29 15:49:34,949
E421,ET1,2025-12-30,2025-12-30 09:20:12,560
E421,ET1,2026-01-03,2026-01-03 09:01:47,541
E421,ET1,2026-01-05,2026-01-05 08:54:21,534
E421,ET1,2026-01-06,2026-01-06 08:46:14,526
E421,ET1,2026-01-07,2026-01-07 08:48:33,528
E421,ET1,2026-01-08,2026-01-08 08:48:32,528
E421,ET1,2026-01-09,2026-01-09 08:46:07,526
E421,ET1,2026-01-10,2026-01-10 10:13:10,613
E421,ET1,2026-01-12,2026-01-12 08:50:19,530
E421,ET1,2026-01-13,2026-01-13 08:48:09,528
E421,ET1,2026-01-14,2026-01-14 08:53:36,533
E421,ET1,2026-01-19,2026-01-19 08:47:56,527
E421,ET1,2026-01-20,2026-01-20 08:45:40,525
E421,ET1,2026-01-21,2026-01-21 08:45:10,525
E421,ET1,2026-01-23,2026-01-23 08:47:28,527
E421,ET1,2026-01-24,2026-01-24 08:57:21,537
E421,ET1,2026-01-27,2026-01-27 08:50:34,530
E421,ET1,2026-01-28,2026-01-28 08:51:55,531
E421,ET1,2026-01-29,2026-01-29 08:47:54,527
E421,ET1,2026-01-30,2026-01-30 08:54:58,534
E421,ET1,2026-01-31,2026-01-31 08:48:00,528
E421,ET1,2026-02-02,2026-02-02 08:47:47,527
E421,ET1,2026-02-03,2026-02-03 08:47:01,527
E421,ET1,2026-02-04,2026-02-04 08:50:36,530
E421,ET1,2026-02-05,2026-02-05 08:47:51,527
E421,ET1,2026-02-06,2026-02-06 08:51:32,531
E421,ET2,2025-09-02,2025-09-02 08:48:07,528
E421,ET2,2025-09-03,2025-09-03 08:48:44,528
E421,ET2,2025-09-04,2025-09-04 08:52:11,532
E421,ET2,2025-09-08,2025-09-08 08:50:00,530
E421,ET2,2025-09-09,2025-09-09 08:43:02,523
